Time(ms),pt_a003,pt_a009,lc_a016,lc_a017,lc_a018,lc_a019,lc_a020,lc_a021,log_enable_tkbk,log_enable_cmd,sv_a010_tkbk,sv_a010_cmd,sv_a011_tkbk,sv_a011_cmd,sv_a012_tkbk,sv_a012_cmd,sv_a013_tkbk,sv_a013_cmd,sv_a014_tkbk,sv_a014_cmd,sv_a015_tkbk,sv_a015_cmd
1769590,2741.0,2749.0,0.0,27569.0,-1.0,-6185.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1769647,2743.0,2754.0,0.0,27604.0,-1.0,-6265.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1769753,2741.0,2753.0,0.0,27541.0,-1.0,-6380.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1769825,2740.0,2751.0,0.0,27526.0,-1.0,-6401.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1769931,2742.0,2748.0,0.0,27780.0,-1.0,-6302.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1770020,2741.0,2751.0,0.0,27646.0,-1.0,-6118.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1770109,2743.0,2751.0,0.0,27508.0,-1.0,-6107.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1770184,2743.0,2748.0,0.0,27776.0,-1.0,-6095.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1770275,2740.0,2752.0,0.0,27667.0,-1.0,-6107.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1770364,2742.0,2748.0,0.0,27773.0,-1.0,-6139.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1770453,2745.0,2750.0,0.0,27590.0,-1.0,-6036.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1770527,2742.0,2753.0,0.0,27752.0,-1.0,-6363.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1770630,2742.0,2752.0,0.0,27768.0,-1.0,-6305.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1770713,2749.0,2754.0,0.0,27728.0,-1.0,-6250.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1770792,2739.0,2752.0,0.0,27884.0,-1.0,-6157.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1770869,2743.0,2752.0,0.0,27626.0,-1.0,-6266.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1770945,2743.0,2751.0,0.0,27828.0,-1.0,-6142.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1771038,2747.0,2758.0,0.0,27630.0,-1.0,-6096.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1771130,2739.0,2751.0,0.0,27607.0,-1.0,-6339.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1771222,2742.0,2752.0,0.0,27867.0,-1.0,-6260.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1771311,2742.0,2749.0,0.0,27726.0,-1.0,-6249.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1771400,2742.0,2752.0,0.0,28044.0,-1.0,-6208.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
