Time(ms),pt_a003,pt_a009,lc_a016,lc_a017,lc_a018,lc_a019,lc_a020,lc_a021,log_enable_tkbk,log_enable_cmd,sv_a010_tkbk,sv_a010_cmd,sv_a011_tkbk,sv_a011_cmd,sv_a012_tkbk,sv_a012_cmd,sv_a013_tkbk,sv_a013_cmd,sv_a014_tkbk,sv_a014_cmd,sv_a015_tkbk,sv_a015_cmd
2047814,2747.0,2759.0,0.0,1971124.0,8388607.0,-7602.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2047921,2743.0,2748.0,0.0,1964029.0,8388607.0,-7404.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2048009,2742.0,2749.0,0.0,1964782.0,8388607.0,-7366.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2048098,2741.0,2751.0,0.0,1980148.0,8388607.0,-7478.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2048186,2742.0,2753.0,0.0,1974800.0,8388607.0,-7520.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2048298,2741.0,2751.0,0.0,1956160.0,8388607.0,-7543.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2048376,2742.0,2748.0,0.0,1972307.0,8388607.0,-7698.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2048467,2741.0,2750.0,0.0,1985251.0,8388607.0,-7577.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2048560,2738.0,2749.0,0.0,1970061.0,8388607.0,-7588.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2048647,2739.0,2751.0,0.0,1963508.0,8388607.0,-7656.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2048719,2742.0,2749.0,0.0,1971810.0,8388607.0,-7518.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2048810,2739.0,2751.0,0.0,1977454.0,8388607.0,-7506.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2048905,2742.0,2752.0,0.0,1975683.0,8388607.0,-7546.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2048998,2738.0,2749.0,0.0,1962304.0,8388607.0,-7443.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2049075,2738.0,2752.0,0.0,1963577.0,8388607.0,-7576.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2049152,2741.0,2747.0,0.0,1983653.0,8388607.0,-7598.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2049225,2746.0,2755.0,0.0,1977428.0,8388607.0,-7595.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2049335,2742.0,2751.0,0.0,1959786.0,8388607.0,-7673.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2049420,2738.0,2751.0,0.0,1968214.0,8388607.0,-7589.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2049492,2738.0,2749.0,0.0,1977667.0,8388607.0,-7565.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2049566,2745.0,2755.0,0.0,1973311.0,8388607.0,-7563.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
