Time(ms),pt_a003,pt_a009,lc_a016,lc_a017,lc_a018,lc_a019,lc_a020,lc_a021,log_enable_tkbk,log_enable_cmd,sv_a010_tkbk,sv_a010_cmd,sv_a011_tkbk,sv_a011_cmd,sv_a012_tkbk,sv_a012_cmd,sv_a013_tkbk,sv_a013_cmd,sv_a014_tkbk,sv_a014_cmd,sv_a015_tkbk,sv_a015_cmd
1868510,2739.0,2754.0,0.0,886887.0,8388607.0,-7501.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1868608,2741.0,2751.0,0.0,887771.0,8388607.0,-7430.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1868704,2743.0,2750.0,0.0,887205.0,8388607.0,-7773.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1868779,2743.0,2752.0,0.0,886374.0,8388607.0,-7315.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1868886,2737.0,2751.0,0.0,888140.0,8388607.0,-7495.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1868977,2739.0,2751.0,0.0,888111.0,8388607.0,-7372.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1869074,2742.0,2751.0,0.0,886724.0,8388607.0,-7609.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1869157,2742.0,2749.0,0.0,886541.0,8388607.0,-7672.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1869259,2738.0,2751.0,0.0,887439.0,8388607.0,-7630.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1869339,2741.0,2749.0,0.0,887835.0,8388607.0,-7484.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1869433,2742.0,2755.0,0.0,887123.0,8388607.0,-7421.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1869519,2742.0,2752.0,0.0,886078.0,8388607.0,-7429.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1869618,2745.0,2750.0,0.0,887550.0,8388607.0,-7534.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1869682,2743.0,2748.0,0.0,886949.0,8388607.0,-7670.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1869777,2743.0,2754.0,0.0,888577.0,8388607.0,-7672.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1869855,2741.0,2753.0,0.0,885867.0,8388607.0,-7518.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1869971,2737.0,2752.0,0.0,888879.0,8388607.0,-7658.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1870040,2743.0,2755.0,0.0,885761.0,8388607.0,-7385.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1870120,2742.0,2751.0,0.0,887922.0,8388607.0,-7392.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1870197,2745.0,2758.0,0.0,885659.0,8388607.0,-7617.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1870295,2742.0,2748.0,0.0,889142.0,8388607.0,-7484.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1870372,2743.0,2752.0,0.0,885077.0,8388607.0,-7537.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1870447,2739.0,2751.0,0.0,888112.0,8388607.0,-7519.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1870542,2746.0,2757.0,0.0,886411.0,8388607.0,-7519.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1870637,2741.0,2751.0,0.0,888306.0,8388607.0,-7540.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1870715,2739.0,2755.0,0.0,887826.0,8388607.0,-7415.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1870809,2740.0,2754.0,0.0,887782.0,8388607.0,-7567.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1870902,2742.0,2751.0,0.0,887413.0,8388607.0,-7570.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1871002,2740.0,2750.0,0.0,889854.0,8388607.0,-7592.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1871085,2741.0,2748.0,0.0,885889.0,8388607.0,-7386.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1871178,2739.0,2751.0,0.0,886444.0,8388607.0,-7372.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1871255,2745.0,2751.0,0.0,886106.0,8388607.0,-7433.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1871345,2742.0,2751.0,0.0,887779.0,8388607.0,-7528.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1871425,2740.0,2754.0,0.0,887473.0,8388607.0,-7444.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
