Time(ms),pt_a003,pt_a009,lc_a016,lc_a017,lc_a018,lc_a019,lc_a020,lc_a021,log_enable_tkbk,log_enable_cmd,sv_a010_tkbk,sv_a010_cmd,sv_a011_tkbk,sv_a011_cmd,sv_a012_tkbk,sv_a012_cmd,sv_a013_tkbk,sv_a013_cmd,sv_a014_tkbk,sv_a014_cmd,sv_a015_tkbk,sv_a015_cmd
671000,2740.0,2752.0,0.0,145993.0,8388607.0,-7465.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
671074,2739.0,2748.0,0.0,145988.0,8388607.0,-7215.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
671179,2743.0,2755.0,0.0,146054.0,8388607.0,-7079.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
671251,2740.0,2750.0,0.0,146107.0,8388607.0,-7356.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
671329,2739.0,2747.0,0.0,145993.0,8388607.0,-7346.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
671419,2747.0,2755.0,0.0,146027.0,8388607.0,-7417.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
671508,2739.0,2751.0,0.0,146082.0,8388607.0,-7251.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
671588,2743.0,2747.0,0.0,146039.0,8388607.0,-7338.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
671664,2740.0,2748.0,0.0,146211.0,8388607.0,-7319.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
671737,2745.0,2755.0,0.0,146030.0,8388607.0,-7263.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
671846,2745.0,2752.0,0.0,146197.0,8388607.0,-7195.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
671939,2742.0,2750.0,0.0,145977.0,8388607.0,-7270.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
672040,2739.0,2751.0,0.0,146110.0,8388607.0,-7221.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
672123,2740.0,2752.0,0.0,146309.0,8388607.0,-7518.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
672206,2739.0,2754.0,0.0,146031.0,8388607.0,-7264.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
672293,2743.0,2751.0,0.0,146098.0,8388607.0,-7218.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
672384,2740.0,2750.0,0.0,146062.0,8388607.0,-7383.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
672475,2745.0,2751.0,0.0,145989.0,8388607.0,-7366.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
672562,2743.0,2750.0,0.0,146201.0,8388607.0,-7259.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
672635,2741.0,2752.0,0.0,146126.0,8388607.0,-7208.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
672740,2738.0,2751.0,0.0,146041.0,8388607.0,-7333.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
672810,2741.0,2751.0,0.0,146167.0,8388607.0,-7357.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
672916,2742.0,2749.0,0.0,146140.0,8388607.0,-7131.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
672986,2742.0,2750.0,0.0,146168.0,8388607.0,-7420.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
673076,2745.0,2749.0,0.0,146035.0,8388607.0,-7445.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
673149,2749.0,2759.0,0.0,146092.0,8388607.0,-7416.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
673253,2739.0,2748.0,0.0,146195.0,8388607.0,-7113.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
673326,2739.0,2748.0,0.0,146197.0,8388607.0,-7516.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
673414,2738.0,2749.0,0.0,146088.0,8388607.0,-7500.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
673468,2747.0,2760.0,0.0,146072.0,8388607.0,-7251.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
673594,2741.0,2752.0,0.0,146054.0,8388607.0,-7269.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
673672,2742.0,2752.0,0.0,146106.0,8388607.0,-7081.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
673767,2741.0,2753.0,0.0,146156.0,8388607.0,-7278.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
673858,2739.0,2754.0,0.0,146095.0,8388607.0,-7287.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
673967,2740.0,2750.0,0.0,146079.0,8388607.0,-7082.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
674040,2741.0,2750.0,0.0,146068.0,8388607.0,-7427.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
674150,2741.0,2751.0,0.0,146135.0,8388607.0,-7271.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
674221,2744.0,2753.0,0.0,146064.0,8388607.0,-7310.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
674316,2740.0,2748.0,0.0,146160.0,8388607.0,-7398.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
674396,2746.0,2754.0,0.0,146061.0,8388607.0,-7111.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
674501,2741.0,2750.0,0.0,146100.0,8388607.0,-7117.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
674592,2742.0,2752.0,0.0,145931.0,8388607.0,-7585.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
674686,2741.0,2751.0,0.0,146167.0,8388607.0,-7294.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
674759,2739.0,2750.0,0.0,146054.0,8388607.0,-7226.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
674865,2743.0,2749.0,0.0,145956.0,8388607.0,-7304.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
674937,2742.0,2750.0,0.0,146152.0,8388607.0,-7185.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
675042,2741.0,2756.0,0.0,146099.0,8388607.0,-7239.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
675117,2742.0,2754.0,0.0,146213.0,8388607.0,-7387.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
675226,2742.0,2751.0,0.0,146134.0,8388607.0,-7378.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
675300,2741.0,2751.0,0.0,146219.0,8388607.0,-7349.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
675404,2742.0,2754.0,0.0,146192.0,8388607.0,-7267.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
675477,2739.0,2749.0,0.0,146279.0,8388607.0,-7185.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
675580,2741.0,2751.0,0.0,146399.0,8388607.0,-7376.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
675651,2741.0,2751.0,0.0,146259.0,8388607.0,-7152.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
675739,2744.0,2752.0,0.0,146286.0,8388607.0,-7196.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
675828,2742.0,2752.0,0.0,146376.0,8388607.0,-7237.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
675934,2741.0,2752.0,0.0,146191.0,8388607.0,-7361.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
676004,2740.0,2750.0,0.0,146306.0,8388607.0,-7229.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
676077,2742.0,2752.0,0.0,146265.0,8388607.0,-7303.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
676163,2746.0,2759.0,0.0,146317.0,8388607.0,-7166.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
676268,2745.0,2748.0,0.0,146367.0,8388607.0,-7431.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
676339,2739.0,2753.0,0.0,146350.0,8388607.0,-7436.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
676429,2738.0,2752.0,0.0,146388.0,8388607.0,-7283.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
676485,2748.0,2757.0,0.0,146451.0,8388607.0,-7425.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
676609,2742.0,2755.0,0.0,146346.0,8388607.0,-7330.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
676684,2742.0,2752.0,0.0,146448.0,8388607.0,-7216.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
676779,2740.0,2751.0,0.0,146482.0,8388607.0,-7181.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
676869,2742.0,2752.0,0.0,146528.0,8388607.0,-7328.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
676975,2738.0,2752.0,0.0,146345.0,8388607.0,-7166.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
677050,2741.0,2748.0,0.0,146461.0,8388607.0,-7428.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
677161,2739.0,2751.0,0.0,146546.0,8388607.0,-7533.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
677236,2740.0,2750.0,0.0,146333.0,8388607.0,-7372.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
677336,2739.0,2751.0,0.0,146237.0,8388607.0,-7254.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
677417,2743.0,2748.0,0.0,146482.0,8388607.0,-7378.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
677509,2742.0,2750.0,0.0,146367.0,8388607.0,-7191.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
677598,2745.0,2752.0,0.0,146545.0,8388607.0,-7566.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
677688,2741.0,2750.0,0.0,146450.0,8388607.0,-7400.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
677761,2743.0,2751.0,0.0,146558.0,8388607.0,-7111.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
677865,2739.0,2748.0,0.0,146520.0,8388607.0,-7134.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
677938,2741.0,2752.0,0.0,146414.0,8388607.0,-7307.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
678059,2739.0,2754.0,0.0,146571.0,8388607.0,-7590.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
678118,2740.0,2751.0,0.0,146435.0,8388607.0,-7329.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
678188,2745.0,2755.0,0.0,146520.0,8388607.0,-7379.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
678277,2747.0,2757.0,0.0,146330.0,8388607.0,-7331.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
678383,2742.0,2751.0,0.0,146497.0,8388607.0,-7148.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
678459,2739.0,2750.0,0.0,146395.0,8388607.0,-7231.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
678531,2738.0,2751.0,0.0,146418.0,8388607.0,-7411.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
678621,2748.0,2756.0,0.0,146593.0,8388607.0,-7357.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
678730,2740.0,2749.0,0.0,146267.0,8388607.0,-7275.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
678803,2737.0,2755.0,0.0,146356.0,8388607.0,-7313.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
678907,2745.0,2750.0,0.0,146441.0,8388607.0,-7294.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
678996,2742.0,2751.0,0.0,146426.0,8388607.0,-7281.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
679067,2741.0,2753.0,0.0,146311.0,8388607.0,-7329.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
679155,2746.0,2757.0,0.0,146453.0,8388607.0,-7297.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
679244,2742.0,2749.0,0.0,146229.0,8388607.0,-7454.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
679337,2742.0,2749.0,0.0,146299.0,8388607.0,-7440.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
679431,2739.0,2754.0,0.0,146343.0,8388607.0,-7101.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
679504,2743.0,2755.0,0.0,146267.0,8388607.0,-7248.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
