Time(ms),qx,pt_a003,pt_a009,lc_a016,lc_a017,lc_a018,lc_a019,lc_a020,lc_a021,log_enable_tkbk,log_enable_cmd,sv_a010_tkbk,sv_a010_cmd,sv_a011_tkbk,sv_a011_cmd,sv_a012_tkbk,sv_a012_cmd,sv_a013_tkbk,sv_a013_cmd,sv_a014_tkbk,sv_a014_cmd,sv_a015_tkbk,sv_a015_cmd
1381,0.0,2865.0,2806.0,0.0,529.0124,8388607.0,-6583.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1514,0.0,2792.0,2809.0,0.0,529.05066,8388607.0,-6398.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1608,0.0,2846.0,2810.0,0.0,529.05066,8388607.0,-6495.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1683,0.0,2971.0,2808.0,0.0,529.4112,8388607.0,-6449.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1752,0.0,2773.0,2808.0,0.0,529.01605,8388607.0,-6438.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1821,0.0,3125.0,2813.0,0.0,529.01605,8388607.0,-6532.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1888,0.0,2871.0,2800.0,0.0,528.7884,8388607.0,-6361.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0.0,2504.0,2815.0,0.0,528.7884,8388607.0,-6412.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,0.0,2926.0,2807.0,0.0,528.4206,8388607.0,-6388.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2082,0.0,2819.0,2812.0,0.0,528.60815,8388607.0,-6515.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2136,0.0,3027.0,2806.0,0.0,529.17084,8388607.0,-6546.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2195,0.0,2864.0,2809.0,0.0,528.68823,8388607.0,-6607.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2252,0.0,2350.0,2811.0,0.0,528.89764,8388607.0,-6397.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2305,0.0,2831.0,2805.0,0.0,529.0798,8388607.0,-6610.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2355,0.0,3007.0,2810.0,0.0,528.7593,8388607.0,-6559.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2424,0.0,2778.0,2808.0,0.0,528.93225,8388607.0,-6329.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2494,0.0,2632.0,2814.0,0.0,529.4986,8388607.0,-6581.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2616,0.0,2848.0,2807.0,0.0,528.65546,8388607.0,-6609.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2667,0.0,2677.0,2801.0,0.0,529.1963,8388607.0,-6285.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2756,0.0,2811.0,2803.0,0.0,529.4276,8388607.0,-6593.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2823,0.0,3100.0,2811.0,0.0,529.0616,8388607.0,-6541.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2890,0.0,2737.0,2810.0,0.0,528.91406,8388607.0,-6575.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2959,0.0,2600.0,2810.0,0.0,528.77386,8388607.0,-6418.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3057,0.0,2780.0,2808.0,0.0,529.62787,8388607.0,-6467.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3137,0.0,2741.0,2803.0,0.0,529.08887,8388607.0,-6469.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3211,0.0,2822.0,2802.0,0.0,529.3821,8388607.0,-6440.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3279,0.0,3088.0,2813.0,0.0,529.16534,8388607.0,-6482.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3367,0.0,2815.0,2806.0,0.0,529.2764,8388607.0,-6431.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3440,0.0,2888.0,2806.0,0.0,529.2109,8388607.0,-6742.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3512,0.0,2833.0,2802.0,0.0,528.90314,8388607.0,-6521.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3585,0.0,2368.0,2808.0,0.0,529.13806,8388607.0,-6456.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3680,0.0,2778.0,2806.0,0.0,529.22,8388607.0,-6351.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3752,0.0,3163.0,2804.0,0.0,529.43304,8388607.0,-6435.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3845,0.0,2748.0,2810.0,0.0,528.7611,8388607.0,-6278.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3911,0.0,2884.0,2804.0,0.0,528.92316,8388607.0,-6569.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4003,0.0,2799.0,2808.0,0.0,529.2327,8388607.0,-6360.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4084,0.0,2646.0,2810.0,0.0,529.271,8388607.0,-6327.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4147,0.0,2864.0,2807.0,0.0,529.0488,8388607.0,-6389.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4222,0.0,2844.0,2806.0,0.0,528.9796,8388607.0,-6342.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4312,0.0,2804.0,2810.0,0.0,529.15625,8388607.0,-6410.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4401,0.0,2861.0,2811.0,0.0,529.03973,8388607.0,-6578.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4472,0.0,2427.0,2805.0,0.0,529.34015,8388607.0,-6645.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4539,0.0,3215.0,2808.0,0.0,528.8467,8388607.0,-6169.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4632,0.0,2794.0,2802.0,0.0,529.0707,8388607.0,-6500.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4706,0.0,2474.0,2809.0,0.0,529.36383,8388607.0,-6450.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4790,0.0,2859.0,2807.0,0.0,529.20544,8388607.0,-6610.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4858,0.0,2641.0,2811.0,0.0,529.39844,8388607.0,-6410.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4931,0.0,2748.0,2810.0,0.0,528.90497,8388607.0,-6703.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5003,0.0,2964.0,2812.0,0.0,529.4349,8388607.0,-6672.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5109,0.0,2874.0,2807.0,0.0,529.067,8388607.0,-6377.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5176,0.0,2668.0,2804.0,0.0,529.1198,8388607.0,-6255.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5267,0.0,3121.0,2797.0,0.0,528.93225,8388607.0,-6442.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5342,0.0,2405.0,2806.0,0.0,529.01965,8388607.0,-6352.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5434,0.0,2810.0,2804.0,0.0,528.96686,8388607.0,-6270.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5489,0.0,2866.0,2808.0,0.0,529.2382,8388607.0,-6340.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5580,0.0,3089.0,2809.0,0.0,529.2382,8388607.0,-6185.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5649,0.0,2463.0,2812.0,0.0,529.2382,8388607.0,-6456.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5734,0.0,3136.0,2798.0,0.0,529.2455,8388607.0,-6380.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5884,0.0,2812.0,2804.0,0.0,529.2455,8388607.0,-6322.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5972,0.0,2963.0,2806.0,0.0,529.0998,8388607.0,-6264.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6065,0.0,2576.0,2801.0,0.0,529.4804,8388607.0,-6148.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6137,0.0,3041.0,2810.0,0.0,529.4804,8388607.0,-6277.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6201,0.0,2826.0,2809.0,0.0,528.874,8388607.0,-6425.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6272,0.0,2830.0,2806.0,0.0,528.9013,8388607.0,-6319.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6455,0.0,2717.0,2809.0,0.0,529.2127,8388607.0,-6354.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6601,0.0,2473.0,2811.0,0.0,529.2127,8388607.0,-6386.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6690,0.0,2771.0,2801.0,0.0,529.1362,8388607.0,-6380.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6761,0.0,3193.0,2806.0,0.0,529.1872,8388607.0,-6543.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6910,0.0,2657.0,2811.0,0.0,528.93774,8388607.0,-6339.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6999,0.0,2884.0,2805.0,0.0,529.1053,8388607.0,-6513.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7069,0.0,2471.0,2811.0,0.0,528.93225,8388607.0,-6553.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7158,0.0,2765.0,2804.0,0.0,529.0961,8388607.0,-6465.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7247,0.0,3213.0,2805.0,0.0,529.05975,8388607.0,-6284.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7323,0.0,2438.0,2805.0,0.0,528.9159,8388607.0,-6324.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7393,0.0,3214.0,2807.0,0.0,529.07794,8388607.0,-6576.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7482,0.0,2781.0,2808.0,0.0,529.01605,8388607.0,-6419.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7554,0.0,2519.0,2802.0,0.0,528.9869,8388607.0,-6522.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7639,0.0,2847.0,2805.0,0.0,528.9195,8388607.0,-6250.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7714,0.0,2630.0,2812.0,0.0,528.74286,8388607.0,-6328.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7784,0.0,2778.0,2806.0,0.0,528.9505,8388607.0,-6237.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7875,0.0,3194.0,2810.0,0.0,528.75745,8388607.0,-6433.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7945,0.0,2800.0,2803.0,0.0,528.74286,8388607.0,-6423.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8013,0.0,2492.0,2811.0,0.0,528.90497,8388607.0,-6351.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8097,0.0,2768.0,2805.0,0.0,528.7647,8388607.0,-6480.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8198,0.0,2779.0,2810.0,0.0,528.76654,8388607.0,-6220.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
